season,bowler,runs_conceded,balls_bowled,wickets,matches,economy,wickets_per_match
2020.0,CH Gayle,5,5,0,1,6.0,0.0
2020.0,CH Morris,212,204,12,9,6.24,1.33
2020.0,CJ Green,24,17,0,1,8.47,0.0
2020.0,CJ Jordan,320,210,12,9,9.14,1.33
2020.0,CV Varun,357,313,17,13,6.84,1.31
2020.0,DA Warner,2,2,0,1,6.0,0.0
2020.0,DJ Bravo,180,135,7,6,8.0,1.17
2020.0,DJ Hooda,10,6,0,1,10.0,0.0
2020.0,DL Chahar,402,321,12,14,7.51,0.86
2020.0,DR Sams,114,77,0,3,8.88,0.0
2020.0,DS Kulkarni,22,20,0,1,6.6,0.0
2020.0,DW Steyn,134,75,1,3,10.72,0.33
2020.0,GJ Maxwell,171,126,3,7,8.14,0.43
2020.0,HV Patel,135,98,3,5,8.27,0.6
2020.0,Harpreet Brar,41,25,0,1,9.84,0.0
2020.0,I Sharma,26,20,0,1,7.8,0.0
2020.0,I Udana,286,182,8,10,9.43,0.8
2020.0,Imran Tahir,78,66,1,3,7.09,0.33
2020.0,J Yadav,43,42,1,2,6.14,0.5
2020.0,JC Archer,373,345,20,14,6.49,1.43
2020.0,JD Unadkat,229,144,5,7,9.54,0.71
2020.0,JDS Neesham,149,93,2,5,9.61,0.4
2020.0,JJ Bumrah,436,384,30,15,6.81,2.0
2020.0,JL Pattinson,321,222,11,10,8.68,1.1
2020.0,JO Holder,239,176,15,7,8.15,2.14
2020.0,JR Hazlewood,72,61,1,3,7.08,0.33
2020.0,K Gowtham,84,48,1,2,10.5,0.5
2020.0,K Rabada,565,414,32,17,8.19,1.88
2020.0,KA Pollard,190,138,4,11,8.26,0.36
2020.0,KH Pandya,387,315,6,16,7.37,0.38
2020.0,KK Ahmed,245,158,10,7,9.3,1.43
2020.0,KL Nagarkoti,233,160,5,9,8.74,0.56
2020.0,KS Williamson,24,12,0,1,12.0,0.0
2020.0,KV Sharma,165,118,5,5,8.39,1.0
2020.0,Kartik Tyagi,372,241,10,10,9.26,1.0
2020.0,Kuldeep Yadav,95,75,1,4,7.6,0.25
2020.0,L Ngidi,169,104,10,4,9.75,2.5
2020.0,LH Ferguson,153,127,9,5,7.23,1.8
2020.0,M Ashwin,240,191,10,9,7.54,1.11
2020.0,M Prasidh Krishna,165,109,4,6,9.08,0.67
2020.0,MJ Santner,53,42,2,2,7.57,1.0
2020.0,MM Ali,42,32,1,3,7.88,0.33
2020.0,MM Sharma,45,25,1,1,10.8,1.0
2020.0,MP Stoinis,287,184,13,13,9.36,1.0
2020.0,MR Marsh,6,4,0,1,9.0,0.0
2020.0,Mohammad Nabi,24,26,0,1,5.54,0.0
2020.0,Mohammed Shami,482,342,23,14,8.46,1.64
2020.0,Mohammed Siraj,244,172,11,9,8.51,1.22
2020.0,Monu Kumar,20,16,0,1,7.5,0.0
2020.0,Mujeeb Ur Rahman,83,49,0,2,10.16,0.0
2020.0,N Rana,23,13,0,2,10.62,0.0
2020.0,NM Coulter-Nile,206,165,6,7,7.49,0.86
2020.0,Navdeep Saini,392,294,8,13,8.0,0.62
2020.0,P Dubey,72,48,0,3,9.0,0.0
2020.0,PJ Cummins,424,321,12,14,7.93,0.86
2020.0,PP Chawla,191,128,7,7,8.95,1.0
2020.0,R Ashwin,393,312,15,15,7.56,1.0
2020.0,R Parag,27,13,0,2,12.46,0.0
2020.0,R Tewatia,327,286,11,14,6.86,0.79
2020.0,RA Jadeja,318,221,6,13,8.63,0.46
2020.0,RD Chahar,439,323,16,15,8.15,1.07
2020.0,Rashid Khan,355,391,20,16,5.45,1.25
2020.0,Ravi Bishnoi,381,318,14,14,7.19,1.0
2020.0,S Dube,75,55,5,5,8.18,1.0
2020.0,S Gopal,429,305,10,14,8.44,0.71
2020.0,S Kaul,64,26,2,1,14.77,2.0
2020.0,S Nadeem,179,137,6,7,7.84,0.86
2020.0,S Sandeep Warrier,34,21,0,1,9.71,0.0
2020.0,SM Curran,348,265,14,13,7.88,1.08
2020.0,SN Thakur,279,203,10,9,8.25,1.11
2020.0,SP Narine,308,230,6,10,8.03,0.6
2020.0,SS Cottrell,177,131,6,6,8.11,1.0
2020.0,Sandeep Sharma,374,317,14,13,7.08,1.08
2020.0,Shahbaz Ahmed,45,37,2,2,7.3,1.0
2020.0,Shivam Mavi,214,162,9,8,7.93,1.12
2020.0,T Natarajan,520,389,19,16,8.02,1.19
2020.0,TA Boult,473,354,26,15,8.02,1.73
2020.0,TK Curran,210,116,3,5,10.86,0.6
2020.0,TU Deshpande,193,110,3,5,10.53,0.6
2020.0,UT Yadav,86,46,1,2,11.22,0.5
2020.0,V Shankar,82,84,4,5,5.86,0.8
2020.0,VR Aaron,96,54,0,3,10.67,0.0
2020.0,Washington Sundar,300,302,9,15,5.96,0.6
2020.0,YS Chahal,414,348,22,15,7.14,1.47
2021.0,A Mishra,109,84,6,4,7.79,1.5
2021.0,A Nortje,198,187,12,8,6.35,1.5
2021.0,AD Russell,189,122,11,8,9.3,1.38
2021.0,AF Milne,135,87,4,4,9.31,1.0
