season,team,player,matches_played,batter,avg_runs_per_match,strike_rate
2009.0,Kings XI Punjab,KC Sangakkara,13,KC Sangakkara,25.54,100.0
2009.0,Kings XI Punjab,LA Pomersbach,4,LA Pomersbach,10.25,83.67
2009.0,Kings XI Punjab,PP Chawla,8,PP Chawla,3.88,79.49
2009.0,Kings XI Punjab,RR Powar,3,RR Powar,7.67,104.55
2009.0,Kings XI Punjab,RS Bopara,5,RS Bopara,27.6,111.29
2009.0,Kings XI Punjab,S Sohal,8,S Sohal,14.38,112.75
2009.0,Kings XI Punjab,SM Katich,9,SM Katich,16.11,121.85
2009.0,Kings XI Punjab,WA Mota,6,WA Mota,5.0,62.5
2009.0,Kings XI Punjab,Yuvraj Singh,14,Yuvraj Singh,24.29,107.26
2009.0,Kolkata Knight Riders,AB Agarkar,5,AB Agarkar,13.2,113.79
2009.0,Kolkata Knight Riders,BB McCullum,13,BB McCullum,22.0,115.32
2009.0,Kolkata Knight Riders,BJ Hodge,12,BJ Hodge,30.42,115.14
2009.0,Kolkata Knight Riders,CH Gayle,7,CH Gayle,26.29,115.72
2009.0,Kolkata Knight Riders,DJ Hussey,4,DJ Hussey,24.5,160.66
2009.0,Kolkata Knight Riders,I Sharma,3,I Sharma,5.33,123.08
2009.0,Kolkata Knight Riders,LR Shukla,6,LR Shukla,13.83,96.51
2009.0,Kolkata Knight Riders,MC Henriques,3,MC Henriques,12.67,95.0
2009.0,Kolkata Knight Riders,MN van Wyk,5,MN van Wyk,33.4,123.7
2009.0,Kolkata Knight Riders,SC Ganguly,11,SC Ganguly,17.18,88.73
2009.0,Kolkata Knight Riders,WP Saha,7,WP Saha,10.29,175.61
2009.0,Kolkata Knight Riders,Yashpal Singh,4,Yashpal Singh,11.75,70.15
2009.0,Mumbai Indians,AM Nayar,11,AM Nayar,17.55,124.52
2009.0,Mumbai Indians,AM Rahane,7,AM Rahane,20.57,112.5
2009.0,Mumbai Indians,DJ Bravo,10,DJ Bravo,21.8,103.32
2009.0,Mumbai Indians,DS Kulkarni,3,DS Kulkarni,3.0,50.0
2009.0,Mumbai Indians,Harbhajan Singh,10,Harbhajan Singh,8.4,147.37
2009.0,Mumbai Indians,JP Duminy,12,JP Duminy,31.0,111.38
2009.0,Mumbai Indians,PR Shah,4,PR Shah,13.25,98.15
2009.0,Mumbai Indians,S Dhawan,4,S Dhawan,10.0,86.96
2009.0,Mumbai Indians,SR Tendulkar,13,SR Tendulkar,28.0,115.56
2009.0,Mumbai Indians,SS Tiwary,3,SS Tiwary,4.33,108.33
2009.0,Mumbai Indians,ST Jayasuriya,12,ST Jayasuriya,18.42,107.8
2009.0,Mumbai Indians,Z Khan,3,Z Khan,2.67,72.73
2009.0,Rajasthan Royals,AD Mascarenhas,4,AD Mascarenhas,9.75,100.0
2009.0,Rajasthan Royals,AS Raut,7,AS Raut,11.14,120.0
2009.0,Rajasthan Royals,GC Smith,12,GC Smith,17.67,95.5
2009.0,Rajasthan Royals,J Botha,3,J Botha,15.67,111.9
2009.0,Rajasthan Royals,LA Carseldine,5,LA Carseldine,16.2,114.08
2009.0,Rajasthan Royals,M Rawat,3,M Rawat,5.33,80.0
2009.0,Rajasthan Royals,MM Patel,5,MM Patel,6.6,126.92
2009.0,Rajasthan Royals,NV Ojha,8,NV Ojha,21.0,115.86
